LocID,Location,VarID,Variant,Time,MidPeriod,TFR,NRR,CBR,Births,LEx,LExMale,LExFemale,IMR,Q5,CDR,Deaths,DeathsMale,DeathsFemale,CNMR,NetMigrations,GrowthRate,NatIncr,SRB,MAC
1550,European Community (EC: 12),2,Medium,1950-1955,1953,2.382,1.081,17.74,25127.616,67.14,64.79,69.4,47.694,59.092,11.034,15629.414,7969.424,7659.99,-1.112,-1575.223,0.559,6.706,1.06,28.587
1550,European Community (EC: 12),2,Medium,1955-1960,1958,2.493,1.146,18.05,26362.757,68.94,66.27,71.5,39.044,46.814,10.833,15821.887,8147.994,7673.893,-0.554,-808.728,0.666,7.217,1.06,28.316
1550,European Community (EC: 12),2,Medium,1960-1965,1963,2.684,1.248,18.753,28455.964,70.14,67.22,72.94,32.074,37.784,10.811,16404.873,8469.428,7935.445,0.632,958.736,0.857,7.942,1.06,27.994
1550,European Community (EC: 12),2,Medium,1965-1970,1968,2.566,1.205,17.472,27538.048,71.02,67.93,74.01,25.697,29.9,10.895,17171.345,8854.018,8317.327,0.056,88.447,0.663,6.577,1.06,27.793
1550,European Community (EC: 12),2,Medium,1970-1975,1973,2.183,1.029,14.948,24270.618,71.9,68.69,75.01,20.881,24.299,10.851,17618.092,9022.131,8595.961,1.193,1937.162,0.529,4.097,1.06,27.489
1550,European Community (EC: 12),2,Medium,1975-1980,1978,1.865,0.884,13.142,21806.702,73.11,69.76,76.36,15.176,17.823,10.685,17729.421,9065.476,8663.945,0.941,1562.132,0.34,2.457,1.06,27.212
1550,European Community (EC: 12),2,Medium,1980-1985,1983,1.691,0.804,12.376,20824.271,74.44,71.06,77.7,11.027,13.12,10.484,17639.429,8937.015,8702.414,0.291,489.897,0.218,1.892,1.06,27.41
1550,European Community (EC: 12),2,Medium,1985-1990,1988,1.577,0.754,11.898,20272.887,75.65,72.28,78.89,8.72,10.416,10.273,17504.639,8785.154,8719.485,1.241,2114.181,0.287,1.625,1.06,27.987
1550,European Community (EC: 12),2,Medium,1990-1995,1993,1.477,0.712,11.215,19424.324,76.7,73.33,79.96,6.734,8.137,10.103,17498.562,8732.355,8766.207,2.54,4399.955,0.365,1.112,1.06,28.63
1550,European Community (EC: 12),2,Medium,1995-2000,1998,1.463,0.708,10.821,19033.948,77.84,74.62,80.96,5.237,6.341,9.963,17524.351,8695.226,8829.125,1.669,2935.616,0.253,0.858,1.06,29.272
1550,European Community (EC: 12),2,Medium,2000-2005,2003,1.51,0.729,10.621,19064.206,79.1,76.09,82,4.434,5.349,9.652,17324.462,8558.475,8765.987,4.588,8235.468,0.556,0.969,1.06,29.713
1550,European Community (EC: 12),2,Medium,2005-2010,2008,1.624,0.781,10.856,20005.416,80.37,77.58,83.06,3.842,4.602,9.362,17251.979,8536.344,8715.635,3.48,6412.307,0.497,1.494,1.06,30.176
1550,European Community (EC: 12),2,Medium,2010-2015,2013,1.619,0.778,10.332,19441.289,81.36,78.81,83.83,3.43,4.067,9.521,17915.599,8848.848,9066.751,2.574,4842.851,0.338,0.811,1.05,30.7
1550,European Community (EC: 12),2,Medium,2015-2020,2018,1.598,0.766,9.756,18643.981,82.03,79.63,84.37,3.049,3.614,9.89,18899.667,9349.388,9550.279,2.932,5602.432,0.28,-0.134,1.05,31.178
1550,European Community (EC: 12),2,Medium,2020-2025,2023,1.612,0.773,9.445,18207.951,82.74,80.52,84.91,2.511,3.071,10.259,19777.069,9776.769,10000.3,1.538,2964.848,0.072,-0.814,1.06,31.585
1550,European Community (EC: 12),2,Medium,2025-2030,2028,1.628,0.784,9.193,17764.495,83.46,81.35,85.53,2.188,2.683,10.497,20285.09,10101.414,10183.676,1.536,2967.28,0.023,-1.304,1.05,31.846
1550,European Community (EC: 12),2,Medium,2030-2035,2033,1.647,0.796,9.097,17583.992,84.17,82.12,86.19,1.909,2.346,10.8,20875.714,10472.815,10402.899,1.602,3095.943,-0.01,-1.703,1.05,32.015
1550,European Community (EC: 12),2,Medium,2035-2040,2038,1.665,0.806,9.125,17609.937,84.81,82.81,86.78,1.698,2.091,11.26,21730.531,10924.532,10805.999,1.601,3089.605,-0.053,-2.135,1.05,32.148
1550,European Community (EC: 12),2,Medium,2040-2045,2043,1.682,0.814,9.162,17609.259,85.41,83.45,87.35,1.527,1.885,11.822,22722.639,11408.974,11313.665,1.559,2996.514,-0.11,-2.66,1.05,32.247
1550,European Community (EC: 12),2,Medium,2045-2050,2048,1.697,0.82,9.124,17412.771,85.98,84.05,87.92,1.382,1.709,12.404,23671.929,11859.511,11812.418,1.522,2904.758,-0.176,-3.28,1.05,32.307
1550,European Community (EC: 12),2,Medium,2050-2055,2053,1.711,0.826,9.035,17067.882,86.55,84.63,88.48,1.257,1.557,12.911,24387.951,12177.42,12210.531,1.538,2904.758,-0.234,-3.876,1.05,32.326
1550,European Community (EC: 12),2,Medium,2055-2060,2058,1.72,0.831,8.971,16734.686,87.1,85.18,89.03,1.149,1.424,13.224,24667.991,12277.8,12390.191,1.557,2904.758,-0.27,-4.253,1.05,32.32
1550,European Community (EC: 12),2,Medium,2060-2065,2063,1.724,0.835,8.973,16513.676,87.63,85.72,89.57,1.053,1.306,13.246,24377.789,12105.425,12272.364,1.578,2904.758,-0.269,-4.273,1.05,32.308
1550,European Community (EC: 12),2,Medium,2065-2070,2068,1.729,0.839,9.04,16426.531,88.17,86.27,90.11,0.963,1.196,13.028,23673.328,11757.042,11916.286,1.599,2904.758,-0.239,-3.988,1.05,32.298
1550,European Community (EC: 12),2,Medium,2070-2075,2073,1.733,0.842,9.123,16396.585,88.71,86.81,90.64,0.883,1.098,12.753,22920.397,11406.626,11513.771,1.616,2904.758,-0.201,-3.63,1.05,32.294
1550,European Community (EC: 12),2,Medium,2075-2080,2078,1.739,0.844,9.174,16336.407,89.25,87.36,91.18,0.811,1.008,12.476,22216.913,11102.489,11114.424,1.631,2904.758,-0.167,-3.302,1.05,32.293
1550,European Community (EC: 12),2,Medium,2080-2085,2083,1.744,0.846,9.166,16198.028,89.79,87.9,91.73,0.745,0.926,12.193,21547.968,10837.033,10710.935,1.644,2904.758,-0.138,-3.027,1.05,32.292
1550,European Community (EC: 12),2,Medium,2085-2090,2088,1.748,0.848,9.119,16014.324,90.33,88.44,92.28,0.685,0.851,11.921,20933.676,10592.798,10340.878,1.654,2904.758,-0.115,-2.802,1.05,32.29
1550,European Community (EC: 12),2,Medium,2090-2095,2093,1.751,0.849,9.069,15841.058,90.87,88.96,92.82,0.63,0.782,11.727,20483.805,10414.502,10069.303,1.663,2904.758,-0.1,-2.658,1.05,32.286
1550,European Community (EC: 12),2,Medium,2095-2100,2098,1.752,0.85,9.041,15716.08,91.41,89.5,93.36,0.577,0.717,11.637,20229.481,10292.311,9937.17,1.671,2904.758,-0.093,-2.596,1.05,32.28
276,Germany,2,Medium,1950-1955,1953,2.128,0.964,15.681,5547.415,67.52,65.3,69.6,46.363,54.706,11.121,3934.205,1963.643,1970.562,-0.119,-42.001,0.444,4.56,1.068,27.677
276,Germany,2,Medium,1955-1960,1958,2.274,1.043,16.599,6015.125,68.91,66.3,71.3,38.536,44.513,11.53,4178.169,2134.778,2043.391,0.11,39.829,0.518,5.069,1.065,27.677
276,Germany,2,Medium,1960-1965,1963,2.474,1.151,17.671,6612.108,69.97,67.12,72.56,30.226,35.118,11.86,4437.632,2249.134,2188.498,1.789,669.314,0.76,5.811,1.059,27.27
276,Germany,2,Medium,1965-1970,1968,2.361,1.109,15.982,6186.427,70.67,67.61,73.42,22.61,26.693,12.238,4737.339,2366.51,2370.829,2.251,871.265,0.599,3.744,1.057,26.833
276,Germany,2,Medium,1970-1975,1973,1.708,0.805,11.326,4457.821,71.15,67.89,74.07,20.795,24.218,12.404,4881.899,2390.043,2491.856,1.783,701.731,0.071,-1.078,1.057,26.363
276,Germany,2,Medium,1975-1980,1978,1.508,0.715,10.31,4050.256,72.3,68.89,75.33,15.518,18.298,12.351,4852.089,2339.811,2512.278,0.583,228.894,-0.146,-2.041,1.057,26.267
276,Germany,2,Medium,1980-1985,1983,1.464,0.698,10.68,4164.501,73.65,70.2,76.68,11.07,13.293,12.197,4756.026,2247.31,2508.716,0,0.023,-0.152,-1.517,1.056,26.674
276,Germany,2,Medium,1985-1990,1988,1.43,0.685,10.956,4293.443,74.99,71.59,77.98,8.276,10.034,11.777,4614.786,2141.214,2473.572,4.297,1683.737,0.348,-0.821,1.056,27.414
276,Germany,2,Medium,1990-1995,1993,1.301,0.625,9.89,3960.58,75.98,72.54,79.12,5.988,7.416,11.247,4504.374,2093.93,2410.444,6.563,2628.459,0.521,-1.357,1.056,27.954
276,Germany,2,Medium,1995-2000,1998,1.346,0.647,9.567,3887.501,77.31,74.02,80.35,4.757,5.836,10.683,4341.218,2023.907,2317.311,1.762,715.944,0.065,-1.116,1.056,28.517
276,Germany,2,Medium,2000-2005,2003,1.351,0.651,8.79,3582.144,78.62,75.59,81.46,4.152,5.07,10.318,4204.73,1973.691,2231.039,2.023,824.445,0.05,-1.528,1.055,29.057
276,Germany,2,Medium,2005-2010,2008,1.362,0.658,8.356,3393.002,79.73,76.99,82.37,3.663,4.43,10.372,4211.824,2007.366,2204.458,0.106,43.087,-0.191,-2.016,1.054,29.907
276,Germany,2,Medium,2010-2015,2013,1.427,0.69,8.522,3464.621,80.44,77.94,82.91,3.357,4.005,10.928,4442.795,2154.555,2288.24,4.769,1938.576,0.236,-2.406,1.053,30.659
276,Germany,2,Medium,2015-2020,2018,1.586,0.767,9.413,3896.182,81.1,78.67,83.55,3.189,3.805,11.158,4618.754,2285.197,2333.557,6.569,2719.112,0.482,-1.745,1.052,31.162
276,Germany,2,Medium,2020-2025,2023,1.612,0.779,9.373,3920.263,81.88,79.62,84.14,2.133,2.6,11.744,4911.689,2420.291,2491.398,1.727,722.502,-0.064,-2.371,1.057,31.75
276,Germany,2,Medium,2025-2030,2028,1.632,0.789,9.117,3798.188,82.67,80.6,84.73,1.868,2.279,11.818,4923.577,2431.352,2492.225,1.791,746.007,-0.091,-2.701,1.057,32.249
276,Germany,2,Medium,2030-2035,2033,1.651,0.798,8.866,3674.781,83.4,81.5,85.31,1.667,2.036,11.914,4937.919,2443.359,2494.56,1.876,777.578,-0.117,-3.048,1.057,32.656
276,Germany,2,Medium,2035-2040,2038,1.668,0.807,8.702,3582.076,84.06,82.27,85.89,1.513,1.848,12.161,5005.899,2492.998,2512.901,1.888,777.362,-0.157,-3.459,1.057,32.974
276,Germany,2,Medium,2040-2045,2043,1.68,0.813,8.696,3546.808,84.68,82.93,86.46,1.388,1.697,12.702,5180.978,2590.567,2590.411,1.909,778.616,-0.21,-4.006,1.057,33.205
276,Germany,2,Medium,2045-2050,2048,1.691,0.818,8.908,3591.276,85.26,83.56,87.03,1.288,1.574,13.434,5415.763,2708.293,2707.47,1.936,780.4,-0.259,-4.526,1.057,33.354
276,Germany,2,Medium,2050-2055,2053,1.702,0.824,9.189,3654.974,85.84,84.15,87.59,1.197,1.463,13.928,5539.941,2761.24,2778.701,1.962,780.4,-0.278,-4.739,1.057,33.424
276,Germany,2,Medium,2055-2060,2058,1.708,0.827,9.285,3643.571,86.4,84.71,88.16,1.122,1.37,13.919,5461.706,2720.005,2741.701,1.989,780.4,-0.264,-4.634,1.057,33.424
276,Germany,2,Medium,2060-2065,2063,1.717,0.832,9.245,3584.382,86.96,85.27,88.72,1.054,1.287,13.441,5210.83,2606.388,2604.442,2.013,780.4,-0.218,-4.196,1.057,33.424
276,Germany,2,Medium,2065-2070,2068,1.722,0.835,9.156,3515.574,87.51,85.82,89.27,0.992,1.21,12.879,4944.986,2496.701,2448.285,2.033,780.4,-0.169,-3.723,1.057,33.424
276,Germany,2,Medium,2070-2075,2073,1.727,0.837,9.118,3473.359,88.06,86.38,89.84,0.937,1.143,12.616,4806.238,2448.799,2357.439,2.049,780.4,-0.145,-3.498,1.057,33.424
276,Germany,2,Medium,2075-2080,2078,1.732,0.839,9.171,3469.116,88.62,86.93,90.39,0.885,1.078,12.588,4761.991,2437.858,2324.133,2.063,780.4,-0.135,-3.417,1.057,33.424
276,Germany,2,Medium,2080-2085,2083,1.736,0.842,9.289,3492.633,89.18,87.49,90.95,0.836,1.018,12.431,4674.053,2399.164,2274.889,2.076,780.4,-0.107,-3.142,1.057,33.424
276,Germany,2,Medium,2085-2090,2088,1.737,0.843,9.374,3509.752,89.72,88.02,91.5,0.793,0.965,12.075,4521.122,2327.333,2193.789,2.084,780.4,-0.062,-2.701,1.057,33.424
276,Germany,2,Medium,2090-2095,2093,1.739,0.844,9.373,3502.485,90.27,88.57,92.05,0.752,0.914,11.64,4349.729,2240.71,2109.019,2.088,780.4,-0.018,-2.267,1.057,33.424
276,Germany,2,Medium,2095-2100,2098,1.74,0.844,9.288,3470.224,90.83,89.12,92.61,0.71,0.863,11.276,4212.86,2168.928,2043.932,2.089,780.4,0.01,-1.988,1.057,33.424
250,France,2,Medium,1950-1955,1953,2.763,1.261,19.109,4072.351,67.27,64.24,70.17,44.216,52.296,12.713,2709.343,1374.386,1334.957,1.006,214.483,0.74,6.396,1.052,28.557
250,France,2,Medium,1955-1960,1958,2.703,1.258,18.23,4060.052,69.39,66.08,72.6,32.507,38.282,11.803,2628.685,1339.545,1289.14,3.729,830.406,1.016,6.427,1.048,28.308
250,France,2,Medium,1960-1965,1963,2.845,1.338,18.286,4316.366,70.75,67.23,74.2,24.875,29.1,11.272,2660.723,1363.817,1296.906,6.007,1417.869,1.303,7.014,1.048,27.95
250,France,2,Medium,1965-1970,1968,2.652,1.252,17.186,4275.521,71.45,67.74,75.18,20.364,23.722,11.054,2749.871,1420.727,1329.144,1.976,491.613,0.811,6.132,1.05,27.785
250,France,2,Medium,1970-1975,1973,2.308,1.093,16.075,4157.594,72.43,68.62,76.29,15.757,18.748,10.733,2776.006,1433.3,1342.706,2.1,543.072,0.744,5.342,1.054,27.449
250,France,2,Medium,1975-1980,1978,1.861,0.886,13.799,3675.9,73.66,69.66,77.77,11.539,13.99,10.342,2754.899,1437.552,1317.347,0.97,258.429,0.443,3.457,1.054,27.128
250,France,2,Medium,1980-1985,1983,1.865,0.891,14.152,3860.88,74.77,70.73,78.89,9.277,11.37,10.138,2765.615,1434.341,1331.274,1.069,291.57,0.508,4.014,1.053,27.607
250,France,2,Medium,1985-1990,1988,1.804,0.865,13.681,3827.993,76.13,72.05,80.26,7.905,9.579,9.622,2692.366,1397.445,1294.921,0.988,276.383,0.505,4.059,1.051,28.424
